what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.jsf.vpe.jbpm,3.3.0.v20120604-2138-H114-CR1,"org.jboss.tools.jsf.vpe.jbpm",1350670698852
stopped,bundle,org.jboss.tools.jsf.vpe.jstl,3.3.0.v20120604-2138-H114-CR1,"org.jboss.tools.jsf.vpe.jstl",1350670698852
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.3.0.v20120604-2138-H114-CR1,"org.jboss.tools.jsf.vpe.seam",1350670698853
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.3.0.v20120604-2138-H114-CR1,"org.jboss.tools.jsf.vpe.jsf",1350670698854
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.3.0.v20120604-2138-H114-CR1,"org.jboss.tools.jsf.vpe.myfaces",1350670698855
stopped,bundle,org.jboss.tools.vpe.docbook,3.3.0.v20120604-2056-H100-CR1,"org.jboss.tools.vpe.docbook",1350670698856
stopped,bundle,org.jboss.tools.vpe.html,3.3.0.v20120604-2056-H100-CR1,"org.jboss.tools.vpe.html",1350670698857
stopped,bundle,org.jboss.tools.vpe.jsp,3.3.0.v20120604-2056-H100-CR1,"org.jboss.tools.vpe.jsp",1350670698858
stopped,bundle,org.jboss.tools.vpe.spring,3.3.0.v20120604-2056-H100-CR1,"org.jboss.tools.vpe.spring",1350670698858
stopped,bundle,org.jboss.tools.vpe,3.3.0.v20120604-2056-H100-CR1,"org.jboss.tools.vpe",1350670698858
stopped,bundle,org.eclipse.wst.xml.xpath.core,1.2.1.v201109010357,"org.eclipse.wst.xml.xpath.core",1350670698859
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.3.v201112071047,"org.eclipse.datatools.enablement.oda.xml.ui",1350670698859
stopped,bundle,org.eclipse.datatools.enablement.oda.xml,1.2.3.v201112061438,"org.eclipse.datatools.enablement.oda.xml",1350670698859
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.200.v201104061711,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1350670698860
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1350670698861
stopped,bundle,org.jboss.tools.maven.seam,1.3.0.v20120605-2119-H113-CR1,"org.jboss.tools.maven.seam",1350670698861
stopped,bundle,org.jboss.tools.central,1.0.0.v20120605-0123-H98-CR1,"org.jboss.tools.central",1350670698861
stopped,bundle,org.jboss.tools.maven.project.examples,1.3.0.v20120605-2119-H113-CR1,"org.jboss.tools.maven.project.examples",1350670698861
stopped,bundle,org.jboss.tools.project.examples.cheatsheet,1.2.1.v20120605-0038-H105-CR1,"org.jboss.tools.project.examples.cheatsheet",1350670698862
stopped,bundle,org.jboss.tools.project.examples,1.2.1.v20120605-0038-H105-CR1,"org.jboss.tools.project.examples",1350670698862
stopped,bundle,org.jboss.tools.runtime.seam.detector,1.3.0.v20120605-0014-H104-CR1,"org.jboss.tools.runtime.seam.detector",1350670698862
stopped,bundle,org.jboss.tools.seam.text.ext,3.3.0.v20120604-2231-H127-CR1,"org.jboss.tools.seam.text.ext",1350670698863
stopped,bundle,org.jboss.tools.seam.ui,3.3.0.v20120604-2231-H127-CR1,"org.jboss.tools.seam.ui",1350670698863
stopped,bundle,org.jboss.tools.seam.core,3.3.0.v20120604-2231-H127-CR1,"org.jboss.tools.seam.core",1350670698864
stopped,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1350670698865
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.2.v201103292152,"org.eclipse.jst.jsf.facesconfig.ui",1350670698867
stopped,bundle,org.jboss.tools.cdi.seam.config.ui,1.2.0.v20120604-2107-H84-CR1,"org.jboss.tools.cdi.seam.config.ui",1350670698867
stopped,bundle,org.jboss.tools.cdi.seam.text.ext,1.2.0.v20120604-2107-H84-CR1,"org.jboss.tools.cdi.seam.text.ext",1350670698868
stopped,bundle,org.jboss.tools.cdi.text.ext,1.2.0.v20120604-2107-H84-CR1,"org.jboss.tools.cdi.text.ext",1350670698869
stopped,bundle,org.jboss.tools.cdi.xml.ui,1.2.0.v20120604-2107-H84-CR1,"org.jboss.tools.cdi.xml.ui",1350670698870
stopped,bundle,org.jboss.tools.cdi.ui,1.2.0.v20120604-2107-H84-CR1,"org.jboss.tools.cdi.ui",1350670698871
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1350670698871
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.100.v201104061711,"org.eclipse.jst.pagedesigner.jsf.ui",1350670698872
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner",1350670698874
stopped,bundle,org.jboss.tools.jsf.ui,3.3.0.v20120604-2138-H114-CR1,"org.jboss.tools.jsf.ui",1350670698874
stopped,bundle,org.jboss.tools.maven.jsf,1.3.0.v20120605-2119-H113-CR1,"org.jboss.tools.maven.jsf",1350670698874
stopped,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1350670698876
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1350670698877
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.2.100.v201104061711,"org.eclipse.jst.jsf.standard.tagsupport",1350670698878
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.2.0.v20100308,"org.eclipse.jst.pagedesigner.jsp.core",1350670698878
stopped,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1350670698879
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1350670698880
